Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
10/27/2017,CAL,1.06,0.49,1.05,1.05,1.05,3000,1.06
10/30/2017,CAL,1.06,0.49,1.05,1.05,1.05,1000,1.06
10/31/2017,CAL,1.06,0.49,1.05,1.05,1.05,4700,1.06
11/1/2017,CAL,1.06,0.49,1.05,1.05,1.05,3987800,1.06
11/2/2017,CAL,1.06,0.49,1.05,1.05,1.05,0,1.06
11/3/2017,CAL,1.06,0.49,1.05,1.05,1.05,3900,1.06
11/6/2017,CAL,1.06,0.49,1.05,1.05,1.05,0,1.06
11/7/2017,CAL,1.06,0.49,1.05,1.05,1.05,12200,1.06
11/8/2017,CAL,1.06,0.49,1.05,1.05,1.05,22500,1.06
11/9/2017,CAL,1.06,0.49,1.05,1.05,1.05,2300,1.06
11/10/2017,CAL,1.06,0.49,1.05,1.05,1.06,3500,1.06
11/13/2017,CAL,1.06,0.49,1.06,1.06,1.06,200,1.06
11/14/2017,CAL,1.06,0.49,1.06,1.06,1.06,4300,1.06
11/15/2017,CAL,1.06,0.49,1.06,1.06,1.06,102200,1.06
11/16/2017,CAL,1.06,0.49,1.06,1.06,1.06,1200,1.06
11/17/2017,CAL,1.06,0.49,1.06,1.06,1.06,0,1.06
11/20/2017,CAL,1.06,0.49,1.06,1.06,1.06,10300,1.06
11/21/2017,CAL,1.06,0.49,1.06,1.06,1.06,53600,1.06
11/22/2017,CAL,1.06,0.49,1.06,1.06,1.06,2100,1.06
11/23/2017,CAL,1.06,0.49,1.06,1.06,1.06,12200,1.06
11/24/2017,CAL,1.1,0.49,1.06,1.06,1.1,1002200,1.1
11/27/2017,CAL,1.1,0.49,1.1,1.1,1.1,5200,1.1
11/28/2017,CAL,1.1,0.49,1.1,1.1,1.05,1400,1.05
11/29/2017,CAL,1.1,0.49,1.05,1.05,1.05,25600,1.05
11/30/2017,CAL,1.1,0.49,1.05,1.05,1.05,3300,1.05
12/4/2017,CAL,1.1,0.49,1.05,1.05,1.05,0,1.05
12/5/2017,CAL,1.1,0.49,1.05,1.05,1.05,5200,1.05
12/6/2017,CAL,1.1,0.49,1.05,1.05,1.1,1895400,1.06
12/7/2017,CAL,1.1,0.49,1.1,1.1,1.1,0,1.06
